Hostname;ServerFunction;Type;SubFunction;IPServer;InSID;ServerStatus;SiteCode;AdministratedBy;OSName;ToCollectInit;ToCollectLast
null;Infrastructure;null;null;10.238.196.166;null;Active;null;null;null;false;false
sabad11255;Application;Virtual;Not applicable;10.235.202.129;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.37.30;null;Active;null;null;null;false;false
sabad11354;Application;Virtual;Not applicable;10.238.196.68;Yes;Active;BAD1;CSC;linux;true;true
sabad11372;Application;Virtual;Not applicable;10.238.219.121;Yes;Active;BAD1;CSC;linux;true;true
sabad11381;Application;Physical;Not applicable;10.238.21.104;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.219.92;null;Active;null;null;null;false;false
null;Application;null;null;10.238.196.229;null;Active;null;null;null;false;false
null;Application;null;null;10.238.196.179;null;Active;null;null;null;false;false
sabad11444;Application;Physical;Not applicable;10.238.206.127;Yes;Active;RMA1;CSC;linux;true;true
null;Infrastructure;null;null;10.236.20.11;null;Active;null;null;null;false;false
null;Application;null;null;10.238.219.60;null;Active;null;null;null;false;false
sabad11471;Application;Virtual;Not applicable;10.238.198.25;Yes;Active;BAD1;CSC;linux;true;true
sabad11480;Application;Virtual;Infosec Services;10.238.198.32;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.238.198.88;null;Active;null;null;null;false;false
null;Infrastructure;null;null;10.238.14.42;null;Active;null;null;null;false;false
null;Application;null;null;10.238.11.47;null;Active;null;null;null;false;false
null;Application;null;null;10.238.11.32;null;Active;null;null;null;false;false
null;Application;null;null;10.238.82.30;null;Active;null;null;null;false;false
sabad15026;Application;Virtual;Not applicable;10.235.202.135;Yes;Active;RMA1;CSC;linux;true;true
null;Application;null;null;10.238.82.110;null;Active;null;null;null;false;false
null;Application;null;null;10.235.202.43;null;Active;null;null;null;false;false
null;Application;null;null;10.235.202.51;null;Active;null;null;null;false;false
null;Application;null;null;10.236.16.30;null;Active;null;null;null;false;false
sabad15206;Application;Virtual;Not applicable;10.238.198.201;Yes;Active;BAD1;CSC;linux;true;true
null;Application;null;null;10.236.7.22;null;Delivered;null;null;null;false;false
sabad16142;Application;Virtual;Not applicable;10.238.220.142;Yes;Active;RMA1;CSC;AIX;true;true
sabad18104;Application;Physical;Not applicable;10.238.168.14;Yes;Active;BAD1;CSC;linux;true;true
sabad18113;Application;Physical;Not applicable;10.238.168.23;Yes;Active;BAD1;CSC;linux;true;true
