Site code;Site name;Country code;Scenario today
MMO1;Mae Moh (MMO1);TH;ENERGY
MMU1;Morristown (NJ) (MMU1);US;STAY
MNC1;Manchester (MNC1);GB;STAY
MNC2;Manchester Picadilly (MNC2);GB;STAY
MOD1;Morden (MOD1);GB;STAY
MOH1;Mohammedia (ONE) (MOH1);MA;ENERGY
MOR2;Morwell (Workshop) (MOR2);AU;ENERGY
MOS1;Mostaganem (MOS1);DZ;STAY
MOW1;Moskva (Schipok) (MOW1);RU;ENERGY
MOW2;Moskva (Kulakov) (MOW2);RU;ENERGY
MOW3;Moskva (Vostryakovskiy) (MOW3);RU;ENERGY
MOW4;Moskva (Elektrozavodskaya) (MOW4);RU;ENERGY
MOW5;Monroe (WA) (MOW5);US;ENERGY
MOW7;Moskva (Tkatskaya str.) (MOW7);RU;ENERGY
MOW9;Moskva (Shchipok 9) (MOW9);RU;STAY
MOWA;Moskva (Sortirovochnaya) (MOWA);RU;STAY
MOZ1;Mozhaisk (MOZ1);RU;ENERGY
MPL1;Montpellier (Citadis) (MPL1);FR;ENERGY
MQX1;Ashegoda (MQX1);ET;ENERGY
MQY1;Al Mansurya (MQY1);IQ;ENERGY
MRD1;Merida (La Vueltosa) (MRD1);VE;ENERGY
MRI1;Murrarie (MRI1);AU;ENERGY
